key,avg_pronoun_per_sentence,avg_punct_per_sentence,avg_stop_per_sentence,avg_unique_word_pct,avg_words_per_sentence
Suceava,1.6404477611940298,4.16955223880597,12.280298507462687,0.5908599337904835,26.23805970149254
Bihor,1.2175966415952422,4.044079062445339,11.343186986181564,0.5570866752133469,24.775406681826134
Arad,1.3686826843413422,4.624689312344656,11.608947804473901,0.6506490709184374,26.7920463960232
Constanta,1.1016244440146974,3.8654999033069037,10.364242893057435,0.6404791231177376,24.26464900406111
Tulcea,1.5286713286713287,3.737062937062937,12.594405594405595,0.6581745707017745,26.56013986013986
Alba,1.0917661847894407,4.006913890634821,10.834066624764299,0.5973487492284967,24.619107479572595
Bistrita,1.2483130904183535,4.205128205128205,12.48582995951417,0.5909713504318714,28.095816464237515
Harghita,1.3684713375796178,4.466878980891719,11.839490445859873,0.5541150392063665,26.31433121019108
Cluj,1.1760982159984654,3.7226165355841165,10.958181469403415,0.5599213487028996,24.515250335699214
Hunedoara,1.3862320039715372,3.1501737547575708,10.964669865960616,0.5670986873354604,22.836753268244248
Brasov,1.110195674562307,3.714727085478888,10.741503604531411,0.6344498906772252,23.809474768280122
Covasna,1.4059680777238028,4.01411057136248,11.777006708304418,0.5875698143685394,24.526948878093915
Ialomita,1.3354325488896255,3.3347696387139543,10.902220749088498,0.5936192042941548,22.88631090487239
Teleorman,1.0929927963326784,3.777668631303209,11.173788474132285,0.6203431506298334,25.76735428945645
Buzau,1.5676890534108938,3.7347964040190376,11.952934955050239,0.6775467579261598,24.7567424643046
Arges,1.0090415913200723,3.9779987944544906,8.75135623869801,0.6652316491363632,20.212176009644363
Braila,1.7528556593977154,4.1526479750778815,12.040498442367602,0.6000676760683684,24.624091381100726
Giurgiu,1.207171314741036,4.087649402390438,12.022908366533864,0.6794992711234167,27.13645418326693
Calarasi,1.3961772371850565,3.938314509122502,11.189400521285839,0.6372312786471801,24.552562988705475
Dambovita,1.2979441546486652,3.6044799018103713,10.034980055231665,0.6600723707422116,21.787664927891992
Prahova,1.1883429672447015,3.4571290944123314,10.1871387283237,0.5838259049176899,22.10019267822736
Timis,1.4166233766233767,4.046060606060606,10.27047619047619,0.6243584044522028,22.202077922077923
Caras-Severin,1.1728216704288938,3.51665914221219,10.521715575620767,0.6186170773384487,22.658961625282167
Olt,1.2345475028163726,4.262561021404431,11.950732256853174,0.5873663471283128,27.192339466766803
Gorj,1.0403625791003934,3.4987172909184197,9.558320506242518,0.6187309167122881,21.340944073884042
Mehedinti,1.2541811846689896,4.423867595818815,12.755400696864111,0.6044235806672367,29.54233449477352
Dolj,1.1624015748031495,4.226968503937008,11.703937007874016,0.6233521922490891,26.992125984251967
Valcea,1.2083019578313252,4.043957078313253,11.01355421686747,0.6474360193679802,25.027484939759034
Vaslui,1.2443386603196191,4.056307378442707,11.664467868072084,0.5925837454374336,26.85039102346141
Galati,1.0258473773906458,4.547339519030487,11.985703465252794,0.6181334261612998,27.73660291611437
Neamt,1.3596440688816338,3.9774022149670314,12.039242045963766,0.5869883146191567,26.04193073426797
Bacau,1.2331003700005874,3.857990250778176,10.679920126857343,0.6238119317127699,24.183355846596584
Iasi,1.2993273542600896,3.696748878923767,10.872477578475337,0.5812799354384409,23.42012331838565
Botosani,1.3304895388990452,3.3956936827137922,10.953009682442955,0.5794749654810192,23.028099397386416
Satu Mare,1.2388059701492538,3.5223880597014925,10.309701492537313,0.7008189513901337,22.276119402985074
Maramures,1.290909090909091,3.4080382775119618,9.183923444976077,0.6040736602635075,19.779521531100478
